open_time,open,high,low,close,volume,close_time
2025-10-09 19:00:00,4308.23,4344.33,4307.21,4338.0,9853.7189,2025-10-09 19:59:59.999
2025-10-09 20:00:00,4338.03,4347.48,4327.89,4337.46,8193.8562,2025-10-09 20:59:59.999
2025-10-09 21:00:00,4337.45,4359.54,4335.91,4357.85,11548.5122,2025-10-09 21:59:59.999
2025-10-09 22:00:00,4357.85,4383.0,4352.82,4377.83,8382.9305,2025-10-09 22:59:59.999
2025-10-09 23:00:00,4377.83,4379.24,4357.69,4368.09,6734.3095,2025-10-09 23:59:59.999
2025-10-10 00:00:00,4368.09,4384.71,4362.99,4380.7,8963.9895,2025-10-10 00:59:59.999
2025-10-10 01:00:00,4380.7,4393.63,4371.01,4373.38,9396.7355,2025-10-10 01:59:59.999
2025-10-10 02:00:00,4373.38,4380.24,4351.0,4359.19,13177.4204,2025-10-10 02:59:59.999
2025-10-10 03:00:00,4359.18,4392.63,4342.98,4347.13,18717.3668,2025-10-10 03:59:59.999
2025-10-10 04:00:00,4347.12,4361.93,4333.0,4344.49,16048.9573,2025-10-10 04:59:59.999
2025-10-10 05:00:00,4344.49,4370.08,4327.37,4368.34,10090.3362,2025-10-10 05:59:59.999
2025-10-10 06:00:00,4368.35,4377.14,4320.8,4328.0,13998.3577,2025-10-10 06:59:59.999
2025-10-10 07:00:00,4328.01,4334.67,4315.23,4323.39,14440.0373,2025-10-10 07:59:59.999
2025-10-10 08:00:00,4323.4,4349.7,4313.39,4346.12,10225.4072,2025-10-10 08:59:59.999
2025-10-10 09:00:00,4346.12,4351.27,4318.89,4322.12,11949.2918,2025-10-10 09:59:59.999
2025-10-10 10:00:00,4322.12,4345.66,4320.96,4342.89,9058.8158,2025-10-10 10:59:59.999
2025-10-10 11:00:00,4342.89,4347.74,4328.8,4343.02,5886.8168,2025-10-10 11:59:59.999
2025-10-10 12:00:00,4343.02,4352.68,4334.53,4348.54,12418.6509,2025-10-10 12:59:59.999
2025-10-10 13:00:00,4348.54,4390.46,4344.85,4356.1,27182.744,2025-10-10 13:59:59.999
2025-10-10 14:00:00,4356.11,4375.7,4320.99,4328.67,19715.1353,2025-10-10 14:59:59.999
