open_time,open,high,low,close,volume,close_time
2025-10-09 19:00:00,120649.33,121108.12,120649.32,120951.72,714.9231,2025-10-09 19:59:59.999
2025-10-09 20:00:00,120951.72,121199.97,120838.0,121109.09,743.67096,2025-10-09 20:59:59.999
2025-10-09 21:00:00,121109.08,121512.7,121065.77,121461.02,436.22306,2025-10-09 21:59:59.999
2025-10-09 22:00:00,121461.03,121768.01,121411.55,121686.19,467.98367,2025-10-09 22:59:59.999
2025-10-09 23:00:00,121686.19,121900.0,121341.22,121662.4,711.59334,2025-10-09 23:59:59.999
2025-10-10 00:00:00,121662.41,121863.74,121595.75,121745.27,292.90359,2025-10-10 00:59:59.999
2025-10-10 01:00:00,121745.26,121874.13,121489.06,121623.97,353.28358,2025-10-10 01:59:59.999
2025-10-10 02:00:00,121623.96,121651.33,120900.0,121059.73,812.25118,2025-10-10 02:59:59.999
2025-10-10 03:00:00,121059.73,121575.99,120909.15,121026.01,636.2431,2025-10-10 03:59:59.999
2025-10-10 04:00:00,121026.0,121388.58,121018.33,121234.51,480.17378,2025-10-10 04:59:59.999
2025-10-10 05:00:00,121234.52,121604.49,120986.08,121583.89,503.29572,2025-10-10 05:59:59.999
2025-10-10 06:00:00,121583.89,121754.34,121265.26,121378.18,687.86577,2025-10-10 06:59:59.999
2025-10-10 07:00:00,121378.19,121388.61,120855.41,120932.05,895.21452,2025-10-10 07:59:59.999
2025-10-10 08:00:00,120932.05,121660.43,120916.44,121631.54,433.113,2025-10-10 08:59:59.999
2025-10-10 09:00:00,121631.54,121777.07,121276.56,121314.73,473.35018,2025-10-10 09:59:59.999
2025-10-10 10:00:00,121314.73,121543.59,121228.83,121496.33,289.70624,2025-10-10 10:59:59.999
2025-10-10 11:00:00,121496.34,121661.62,121424.5,121554.55,357.66752,2025-10-10 11:59:59.999
2025-10-10 12:00:00,121554.55,121682.42,121420.0,121597.21,288.32785,2025-10-10 12:59:59.999
2025-10-10 13:00:00,121597.22,122550.0,121384.6,121684.2,1452.77007,2025-10-10 13:59:59.999
2025-10-10 14:00:00,121684.18,122069.76,121148.5,121264.18,569.85252,2025-10-10 14:59:59.999
