open_time,open,high,low,close,volume,close_time
2025-10-09 19:00:00,217.56,218.94,217.43,218.29,94398.021,2025-10-09 19:59:59.999
2025-10-09 20:00:00,218.29,219.23,217.56,218.94,75209.446,2025-10-09 20:59:59.999
2025-10-09 21:00:00,218.94,220.45,218.55,220.27,77419.356,2025-10-09 21:59:59.999
2025-10-09 22:00:00,220.27,221.64,219.88,221.25,55765.308,2025-10-09 22:59:59.999
2025-10-09 23:00:00,221.25,221.31,219.85,220.93,47397.296,2025-10-09 23:59:59.999
2025-10-10 00:00:00,220.93,222.0,220.76,221.23,65680.897,2025-10-10 00:59:59.999
2025-10-10 01:00:00,221.22,222.09,220.52,220.97,72549.238,2025-10-10 01:59:59.999
2025-10-10 02:00:00,220.98,221.85,219.87,220.33,93624.855,2025-10-10 02:59:59.999
2025-10-10 03:00:00,220.34,222.87,219.5,221.65,114774.028,2025-10-10 03:59:59.999
2025-10-10 04:00:00,221.64,222.9,220.88,221.22,106331.176,2025-10-10 04:59:59.999
2025-10-10 05:00:00,221.23,221.8,220.04,221.68,84451.904,2025-10-10 05:59:59.999
2025-10-10 06:00:00,221.68,222.43,219.32,219.39,94107.233,2025-10-10 06:59:59.999
2025-10-10 07:00:00,219.39,219.56,217.92,218.12,129293.638,2025-10-10 07:59:59.999
2025-10-10 08:00:00,218.13,220.1,217.4,220.06,143885.799,2025-10-10 08:59:59.999
2025-10-10 09:00:00,220.07,220.78,218.94,218.95,93962.157,2025-10-10 09:59:59.999
2025-10-10 10:00:00,218.95,220.63,218.75,220.4,75482.692,2025-10-10 10:59:59.999
2025-10-10 11:00:00,220.41,221.56,220.28,221.14,94499.033,2025-10-10 11:59:59.999
2025-10-10 12:00:00,221.15,221.8,220.79,221.76,81886.653,2025-10-10 12:59:59.999
2025-10-10 13:00:00,221.76,224.46,221.52,223.41,241283.03,2025-10-10 13:59:59.999
2025-10-10 14:00:00,223.42,224.42,222.08,222.41,115202.425,2025-10-10 14:59:59.999
